Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,MOEAD-30_mean,MOEAD-30_std,MOEAD-30_budget,MOEAD-30_runtime_mean,MOEAD-30_runtime_std,MOEAD-30_tier,MOEAD-50_mean,MOEAD-50_std,MOEAD-50_budget,MOEAD-50_runtime_mean,MOEAD-50_runtime_std,MOEAD-50_tier,MOEAD-100_mean,MOEAD-100_std,MOEAD-100_budget,MOEAD-100_runtime_mean,MOEAD-100_runtime_std,MOEAD-100_tier,MOEAD-200_mean,MOEAD-200_std,MOEAD-200_budget,MOEAD-200_runtime_mean,MOEAD-200_runtime_std,MOEAD-200_tier
FM-500-100-1.00-SAT-1,10000,0.35570440342300946,0.03228423990143144,30,0.4016441941261292,0.00734650176624962,4,0.3430415891365786,0.023026701290633795,50,0.595944857597351,0.067703405336653,3,0.3298092565625273,0.02130774480080656,100,1.8769739389419555,0.16992191814132782,2,0.3205997772838111,0.01632910153875477,200,3.9812150597572327,0.1557569352130158,1,inf,nan,30,131.7513791322708,1.0421651010912445,5,inf,nan,50,130.85985865592957,1.8013087800280192,5,inf,nan,100,130.4598911046982,1.8987190369158646,5,inf,nan,200,129.1581562757492,1.298613370349358,5
HSMGP_num,3456,inf,nan,30,4.00543212890625e-06,3.7578054697628606e-07,1,inf,nan,50,3.445148468017578e-06,1.8099657404810145e-07,1,inf,nan,100,3.159046173095703e-06,1.1286015002272552e-06,1,inf,nan,200,4.100799560546875e-06,2.955661677398137e-07,1,inf,nan,30,131.06156222820283,0.35654193362959874,1,inf,nan,50,130.9606842637062,0.09759928781964906,1,inf,nan,100,131.0534411072731,0.3023012566606329,1,inf,nan,200,130.89681199789047,0.21214111587314805,1
HSQLDB,864,inf,nan,30,4.887580871582031e-06,2.0878200829951205e-06,1,inf,nan,50,3.337860107421875e-06,3.189354200648969e-07,1,inf,nan,100,3.361701965332031e-06,7.252249391787659e-07,1,inf,nan,200,3.0040740966796874e-06,6.397441799640054e-07,1,inf,nan,30,130.9393538236618,0.33555119079203666,1,inf,nan,50,130.9762979865074,0.16891027055635469,1,inf,nan,100,130.884943151474,0.44197153519643767,1,inf,nan,200,131.01520402431487,0.01957821228601511,1
Health-ClosedIssues0000,10000,0.2436035472793674,0.08124869683254071,30,0.4111568808555603,0.017896622850373353,4,0.1971589273666558,0.04340968601686768,50,0.7020341038703919,0.033024599375745624,3,0.1762449802718085,0.01737836565604451,100,1.5049140095710754,0.04263887977870421,2,0.16525997917143045,0.01748495069092038,200,2.9389729380607603,0.30358763864035315,1,inf,nan,30,130.79116796255113,0.16725507368565654,5,inf,nan,50,130.8279521226883,0.19582897929644916,5,inf,nan,100,130.89364998340608,0.08220112512482068,5,inf,nan,200,130.9497463464737,0.3479239892960797,5
Health-ClosedIssues0001,10000,0.4534503448138981,0.021031773269409207,30,0.5042796850204467,0.001995079614613707,4,0.4443007046898203,0.026285755972866955,50,0.9312045097351074,0.03509764228406714,3,0.43980374627476343,0.024623764109980874,100,1.2952330827713012,0.23735182141399777,2,0.42221692934720256,0.02479846328675889,200,5.056904065608978,0.06944379009162537,1,inf,nan,30,130.89504042863845,0.1306772257652659,5,inf,nan,50,130.88616954088212,0.06716713076719791,5,inf,nan,100,130.71774477958678,0.5016627888895073,5,inf,nan,200,130.88516923189164,0.08505093247601282,5
Health-ClosedIssues0002,10000,0.1788156469320195,0.007005811315925642,30,0.5257809042930603,0.007145431572648381,4,0.17424291459639574,0.020737231829568176,50,0.8903644561767579,0.08255721796555562,3,0.16920274124214613,0.028554942598215186,100,1.7104488849639892,0.18717054267532485,2,0.14771890651538433,0.04570387814947718,200,3.775747263431549,0.23952680199503998,1,inf,nan,30,130.76198757886885,0.4827690408290416,5,inf,nan,50,130.79592826366425,0.5591466012459457,5,inf,nan,100,130.9857555270195,0.35332317619999876,5,inf,nan,200,130.97486518621446,0.32286842566516194,5
Health-ClosedIssues0003,10000,0.21397280771566315,0.040386414560268445,30,0.5202122926712036,0.004735469087465573,4,0.19247584490314723,0.036260887501976966,50,0.8616321444511413,0.11131883254920291,3,0.17094856255900365,0.02797369303225981,100,1.9047646164894103,0.24552073302452898,2,0.15385063390375242,0.005470043204040262,200,3.847444224357605,0.23834443545763082,1,inf,nan,30,130.8479446530342,0.04069744614452735,5,inf,nan,50,130.8919649839401,0.2126184347355806,5,inf,nan,100,130.93216140270232,0.35823039319080396,5,inf,nan,200,130.72359563112258,0.4359358024050423,5
Health-ClosedIssues0004,10000,0.292052620866614,0.011274834418332188,30,0.6185630083084106,0.004352018293001084,4,0.2870530059384997,0.008469782539811831,50,0.8556672096252441,0.10601630761928388,3,0.2804625666687478,0.007928082518774532,100,1.8399478316307067,0.23499876337474035,2,0.2781040386510164,0.007609851530381799,200,3.827814149856567,0.2624242139338894,1,inf,nan,30,130.91356456279755,0.2737668106050498,5,inf,nan,50,130.8182767033577,0.09441722845239697,5,inf,nan,100,130.73494955301285,0.2763963646716742,5,inf,nan,200,130.84298146963118,0.09204143311746427,5
Health-ClosedIssues0005,10000,0.24040169914290127,0.004658361305913099,30,0.5699543237686158,0.010619286165967511,4,0.23808492129231767,0.0048390089749992034,50,0.9864761829376221,0.03430890233773411,3,0.2374768892684561,0.004801781863245757,100,1.6979477763175965,0.17720339410094677,2,0.23347282164787458,0.00454413167665079,200,4.1591023206710815,0.33219403001915476,1,inf,nan,30,130.79246200323104,0.2254517506429814,5,inf,nan,50,130.81805181503296,0.17746366281750472,5,inf,nan,100,130.7438120007515,0.28588243575898514,5,inf,nan,200,130.84619170427322,0.0703642068821722,5
Health-ClosedIssues0006,10000,0.12342376603815867,0.008522299168281337,30,0.5564061164855957,0.013905898011385443,4,0.11802956448020305,0.0074000705597693965,50,0.8004163384437561,0.03738103702201573,3,0.11109920642574841,0.008129921259893563,100,1.8154330134391785,0.20342413267119483,2,0.10524387544302356,0.008816516663489198,200,6.154932594299316,0.11567831696315055,1,inf,nan,30,130.90884877443312,0.33656142442789083,5,inf,nan,50,130.76302622556688,0.32190876297697657,5,inf,nan,100,130.72108815908433,0.27324780917631053,5,inf,nan,200,130.91503487825395,0.3800174940268318,5
